theta/deg,R/s^-1
0,NAN
0.1,NAN
0.2,NAN
0.3,NAN
0.4,NAN
0.5,NAN
0.6,NAN
0.7,NAN
0.8,NAN
0.9,NAN
1,NAN
1.1,NAN
1.2,NAN
1.3,NAN
1.4,NAN
1.5,NAN
1.6,NAN
1.7,NAN
1.8,NAN
1.9,NAN
2,3.4
2.1,1.6
2.2,2.8
2.3,1.8
2.4,1.8
2.5,3.2
2.6,2.6
2.7,3.2
2.8,2
2.9,2.6
3,2.4
3.1,4.2
3.2,6.2
3.3,15
3.4,66.2
3.5,190.6
3.6,386.4
3.7,606.6
3.8,742.2
3.9,864.2
4,928.8
4.1,964.6
4.2,1000.2
4.3,1036.2
4.4,1036
4.5,1085.8
4.6,1064
4.7,1088.8
4.8,1069.6
4.9,1080.2
5,1056
5.1,1078.6
5.2,1051.6
5.3,1046.2
5.4,1018.8
5.5,998
5.6,944.8
5.7,940.4
5.8,896.4
5.9,911.6
6,878.6
6.1,1053
6.2,1519.6
6.3,1887.2
6.4,1792.6
6.5,981.8
6.6,816.2
6.7,777.6
6.8,742.4
6.9,1276.2
7,2605.4
7.1,3565.8
7.2,3493.2
7.3,1280.6
7.4,641.4
7.5,633
7.6,629.8
7.7,618.6
7.8,565.4
7.9,555.4
8,553.2
8.1,514.6
8.2,495
8.3,465
8.4,465.8
8.5,428.4
8.6,412.2
8.7,395.2
8.8,378.4
8.9,355.4
9,343.2
9.1,348.2
9.2,328.6
9.3,304
9.4,300
9.5,283.2
9.6,259.8
9.7,268
9.8,256.6
9.9,242.6
10,246.4
10.1,229.8
10.2,204.6
10.3,223
10.4,206.2
10.5,206.8
10.6,211.6
10.7,202.6
10.8,193.2
10.9,199.2
11,189.2
11.1,195.2
11.2,182
11.3,185.6
11.4,179.6
11.5,184.6
11.6,165.2
11.7,177
11.8,168.8
11.9,165.8
12,162.6
12.1,175.4
12.2,159.2
12.3,164
12.4,175.4
12.5,213.6
12.6,266.2
12.7,381
12.8,519.2
12.9,465.2
13,208.4
13.1,160.8
13.2,154.8
13.3,161
13.4,148.2
13.5,147.2
13.6,158.4
13.7,147.6
13.8,138.8
13.9,146.8
14,148.6
14.1,147.6
14.2,232.4
14.3,655.2
14.4,1183
14.5,1278
14.6,653
14.7,188
14.8,131
14.9,124
15,122.2
15.1,113.2
15.2,113
15.3,108
15.4,111
15.5,103.8
15.6,101
15.7,99.8
15.8,102
15.9,103.2
16,93.4
16.1,90.2
16.2,86.2
16.3,88.4
16.4,85.6
16.5,89.6
16.6,88.2
16.7,85
16.8,77.8
16.9,76.4
17,68.6
17.1,78
17.2,67.2
17.3,74.8
17.4,65.2
17.5,66.6
17.6,66.6
17.7,62.4
17.8,62.4
17.9,58.4
18,60.4
18.1,59.6
18.2,53.8
18.3,54.2
18.4,49.4
18.5,53.6
18.6,54.4
18.7,47.6
18.8,49.6
18.9,46.6
19,55
19.1,62
19.2,63.6
19.3,72.6
19.4,111.6
19.5,136.2
19.6,106.4
19.7,54
19.8,40.8
19.9,41.8
20,36
20.1,41.2
20.2,33.8
20.3,33.8
20.4,34
20.5,34.8
20.6,28.2
20.7,29.2
20.8,26.6
20.9,30.2
21,30.2
21.1,33
21.2,29.2
21.3,31.4
21.4,26.6
21.5,30.6
21.6,26.8
21.7,33
21.8,73.6
21.9,175.8
22,275.2
22.1,301.2
22.2,179
22.3,90.4
22.4,31.6
22.5,30.4
22.6,26
22.7,24
22.8,29.4
22.9,21.8
23,27.2
23.1,22
23.2,23.8
23.3,23.2
23.4,20.8
23.5,20
23.6,18
23.7,21.2
23.8,16.6
23.9,20.6
24,18.6
24.1,17.2
24.2,20.8
24.3,19.4
24.4,17.2
24.5,16
24.6,14
24.7,17.6
24.8,15.6
24.9,14
25,14.6
